timestamp,step,qed,logp,l2_distance
2026-04-28T18:21:40Z,3,1.3304,1.2955,0.0376
2026-04-28T18:21:40Z,4,1.1235,1.1155,0.0423
2026-04-28T18:21:40Z,5,0.9662,0.9781,0.0463
2026-04-28T18:21:40Z,6,0.8484,0.8749,0.0497
2026-04-28T18:21:40Z,7,0.7696,0.8055,0.0528
2026-04-28T18:21:40Z,8,0.7215,0.7631,0.0557
2026-04-28T18:21:40Z,9,0.6935,0.7383,0.0582
2026-04-28T18:21:40Z,10,0.68,0.7265,0.0605
2026-04-28T18:21:40Z,11,0.6764,0.7233,0.0625
2026-04-28T18:21:40Z,12,0.6781,0.7246,0.0642
2026-04-28T18:21:40Z,13,0.6817,0.7277,0.0655
2026-04-28T18:21:40Z,14,0.6828,0.7287,0.0666
2026-04-28T18:21:40Z,15,0.6803,0.7266,0.0674
2026-04-28T18:21:40Z,16,0.6778,0.7244,0.068
2026-04-28T18:21:40Z,17,0.6777,0.7244,0.0685
2026-04-28T18:21:40Z,18,0.6802,0.7266,0.0688
2026-04-28T18:21:40Z,19,0.6868,0.7324,0.0692
2026-04-28T18:21:40Z,20,0.6967,0.7412,0.0694
2026-04-28T18:21:40Z,21,0.7074,0.7506,0.0696
2026-04-28T18:21:40Z,22,0.717,0.7591,0.0697
2026-04-28T18:21:40Z,23,0.7253,0.7665,0.0698
2026-04-28T18:21:40Z,24,0.7313,0.7719,0.0699
2026-04-28T18:21:40Z,25,0.7352,0.7756,0.0698
2026-04-28T18:21:40Z,26,0.7385,0.7788,0.0697
2026-04-28T18:21:40Z,27,0.7425,0.7826,0.0695
2026-04-28T18:21:40Z,28,0.7473,0.787,0.0693
2026-04-28T18:21:40Z,29,0.7533,0.7924,0.069
2026-04-28T18:21:40Z,30,0.7604,0.7988,0.0687
2026-04-28T18:21:40Z,31,0.7678,0.8054,0.0684
2026-04-28T18:21:40Z,32,0.7755,0.8121,0.068
2026-04-28T18:21:40Z,33,0.7831,0.8188,0.0676
2026-04-28T18:21:40Z,34,0.7894,0.8244,0.0672
